id,productName,category,fullPrice,salePrice,availability,supplier
101,Brer Rabbit,3,26.32,17.31,0,12
102,Regina,3,15.24,5.67,1,12
103,Underwood,3,70.53,55.03,0,12
104,Vermont Maid,3,89.21,43.02,0,12
105,Mrs. Fanning's,3,18.43,2.07,1,12
106,Cream Of Rice,3,58.91,31.62,0,12
107,Don Pepino,3,77.93,24.65,0,12
108,Shed Guard,3,80,58.5,0,12
109,Boston,5,75,69.51,0,13
110,Ocuvite,5,94.34,84.25,1,13
111,Renu,5,96.73,53.08,0,13
112,Eye Relief,5,39.86,30.22,0,13
113,Collyrium,5,53.47,15.96,1,13
114,Bausch + Lomb,5,56.45,54.81,1,14
115,Preservision,5,60.93,16.38,0,14
116,Alaway,5,42.97,16.91,1,14
117,Sensitive Eyes,5,71.74,47.58,1,14
118,Opcon-a,5,88.26,37.34,1,14
119,Bio True,5,81.66,77.44,0,14
120,Advanced Eye Relief,5,79.22,6.26,0,14
121,One A Day,5,62.31,24.77,1,15
122,Bayer,5,39.57,10.91,1,15
123,Alka-seltzer Plus,5,88.09,57.82,0,15
124,Aleve,5,53.58,49.72,1,15
125,Flintstones,5,69.78,19.86,0,15
126,Alka-seltzer,5,84.16,64.42,0,15
127,Citracal,5,30,6.56,1,15
128,Midol,5,43.46,19.68,0,15
129,Rid,5,64.26,60.61,1,15
130,Berocca,5,88.33,53.17,0,15
131,Neo Synephrine,5,99.91,18.48,1,15
132,Trubiotics,5,68.8,23.14,1,15
133,Bactine,5,66.3,59.51,0,15
134,Campho-phenique,5,40.06,27.53,0,15
135,Menstridol,5,42.78,15,1,15
136,Alka-seltzer Plus-d,5,49.04,15.82,0,15
137,Domeboro,5,61.79,43.02,1,15
138,Imagine Ink,6,79.09,7.19,0,16
139,Batman,6,58.68,4.06,1,16
140,My Little Pony,6,40.91,11.91,1,16
141,Spider-man,6,84.83,65.42,0,16
142,Bic,6,68.76,64.16,0,17
143,Wite-out,6,77.02,31.79,1,17
144,Sunbeam,3,28.38,16.8,0,18
145,Boboli,3,28.26,7.75,1,18
146,Bimbo,3,75.48,69.82,1,18
147,Freihofer's,3,96.48,68.92,1,18
148,J.j. Nissen,3,84.29,18.85,0,18
149,Williams Country Store,3,36,9.1,0,19
150,Sun-bird,3,68.07,51.23,1,19
151,Pioneer Brand,3,41.32,7.58,1,19
152,Campbell's,3,64.99,45.77,1,20
153,Campbell's Chunky,3,44.83,18.08,0,20
154,V8,3,93.8,85.48,0,20
155,Prego,3,95.05,14.5,1,20
156,Swanson,3,78.69,4.39,0,20
157,Campbell's Select Harvest,3,85.93,61.25,1,20
158,V-fusion,3,51.94,21.73,0,20
159,V8 Splash,3,92.88,38.21,1,20
160,Campbell's Go,3,68.28,9.35,0,20
161,Campbell's Healthy Request,3,53.18,0.99,0,20
162,Slow Kettle,3,56.68,45.21,0,20
163,Spaghettios,3,39.86,19.2,1,20
164,Chunky,3,29.2,25.87,1,20
165,Campbell's Soup At Hand,3,56.83,26.6,1,20
166,Nutra Nail,6,47.96,34.57,0,21
167,Plus White,6,89.31,25.69,1,21
168,Mega-t,6,95.13,6.07,1,21
169,Scar Zone,6,20.09,14.3,1,21
170,Sudden Change,6,49.18,42,1,21
171,Bikini Zone,6,83.24,42.18,1,21
172,Solar Sense,6,68.76,14.76,1,21
173,Gold Bond,5,89.91,49.63,1,22
174,Act,5,91.25,2.59,0,22
175,Icy Hot,5,71.81,28.45,0,22
176,Cortizone-10,5,69.51,27.74,0,22
177,Rolaids,5,90.73,83.35,0,22
178,Allegra,5,77.88,11.24,0,22
179,Unisom,5,53.38,13.23,0,22
180,Selsun Blue,5,13.72,6.11,1,22
181,Allegra-d,5,75.72,52.2,0,22
182,Balmex,5,99.19,90.57,0,22
183,Kaopectate,5,92.79,35.05,0,22
184,Bull Frog,5,80.24,22.4,1,22
185,Nasacort,5,68.54,9.01,1,22
186,Pamprin,5,98.57,47.63,0,22
187,Children's Allegra,5,91.4,54.17,1,22
188,Aspercreme,5,38.12,19.74,1,22
189,Ultra Swim,5,66.05,19,1,22
190,Sun In,5,99.91,62.2,1,22
191,Capzasin,5,71.08,63.61,0,22
192,Gold Bond Ultimate,5,96.96,49.13,0,22
193,Herpecin L,5,46.96,30.36,1,22
194,Premsyn,5,72.02,65.97,1,22
195,Arm & Hammer,5,39.37,22.91,0,23
196,Trojan,5,54.85,14.12,0,23
197,Oxi Clean,5,96.31,12.23,0,23
198,Nair,5,51.62,22.85,0,23
199,Xtra,5,81.14,6.53,1,23
200,Arrid,5,72.84,54.24,1,23
201,Simply Saline,5,75.66,31.43,0,23
202,First Response,5,11.79,1.29,1,23
203,Kaboom,5,96.37,52.5,1,23
204,Spinbrush,5,95.7,20.98,0,23
205,Answer,5,89.56,56.6,1,23
206,Orange Glo,5,67.99,50.2,1,23
207,Scrub Free,5,70.31,26.87,0,23
208,Tooth Tunes,5,91.13,40.36,1,23
209,Aim,5,88.28,62.56,1,23
210,Cameo,5,17.02,2.29,0,23
211,Pepsodent,5,55.88,44.53,1,23
212,Baby Orajel,5,11.67,3.12,0,23
213,Feline Pine,5,45.53,33.25,1,23
214,Naturalamb,5,79.47,1.56,0,23
215,Close-up,5,89.97,4.94,0,23
216,Colgate,5,83.17,69.35,0,24
217,Softsoap,5,95.67,44.9,0,24
218,Speed Stick,5,86.27,10.45,0,24
219,Palmolive,5,69.72,12.95,0,24
220,Irish Spring,5,33.4,16.96,0,24
221,Ajax,5,72.82,23.04,0,24
222,Lady Speed Stick,5,58.91,4.69,0,24
223,Suavitel,5,97.05,78.94,1,24
224,Fabuloso,5,32.59,4.29,1,24
225,Murphy,5,95.59,3.27,0,24
226,Mennen,5,34.66,1.95,1,24
227,Afta,5,83.32,73.39,0,24
228,Skin Bracer,5,97.1,76.06,1,24
229,Healthy Choice,3,80.45,56.09,1,25
230,Marie Callender's,3,67,17.45,0,25
231,Hunt's,3,48.76,29.17,1,25
232,Orville Redenbacher's,3,67.18,3.13,1,25
233,Chef Boyardee,3,67.78,48.79,1,25
234,Banquet,3,87.93,30.89,1,25
235,Snack Pack,3,68.72,42.53,1,25
236,Libby's,3,80.06,4.63,1,25
237,La Choy,3,68.11,15.73,0,25
238,Slim Jim,3,68.17,51.46,0,25
239,Hebrew National,3,57.26,39.6,0,25
240,Peter Pan,3,70.75,19.28,1,25
241,Kid Cuisine,3,48.93,9.24,0,25
242,Pure Wesson,3,63.31,61.86,1,25
243,Pam,3,81.83,14.32,1,25
244,Nathan's,3,75.13,35.68,0,25
245,David,3,89.09,5.02,0,25
246,Reddi Wip,3,27.68,15.63,1,25
247,Wolf,3,96.9,77.18,1,25
248,Act Ii,3,56.34,20.62,0,25
249,Gulden's,3,35.29,8,1,25
250,Egg Beaters,3,55.45,30.48,1,25
251,Rotel,3,47.49,45.9,0,25
252,Crunch 'n Munch,3,97.55,81.52,0,25
253,Odom's,3,35.19,1.37,1,25
254,Hk Anderson,3,70.43,38.75,0,25
255,Blue Bonnet,3,96.55,6.28,0,25
256,Banquet Brown 'n Serve,3,53.27,41.56,1,25
257,Ro Tel,3,66.84,3.52,0,25
258,Andy Capp's,3,85.52,71.03,0,25
259,Parkay,3,97.4,30.04,0,25
260,Jiffy Pop,3,41.21,40.79,0,25
261,Van Camp's,3,40.48,33.69,0,25
262,Arby's,3,58.93,38.66,0,25
263,Sanalac,3,66.54,58.27,1,25
264,Red Robin,3,17.05,8.63,1,25
265,Checkers/rally's,3,95.85,36.95,1,25
266,Sweet'n Low,3,34.69,28.52,0,26
267,Sugar In The Raw,3,37.25,24.23,1,26
268,Stevia,3,83.01,65.24,1,26
269,Agave In The Raw,3,56.82,11.04,0,26
270,Stevia In The Raw,3,14.76,4.43,0,26
271,Butter Buds,3,35.32,9.14,1,26
272,Monk Fruit In The Raw,3,42.79,15.08,0,26
273,Daniele,3,51.74,2.55,1,27
274,Del Luca,3,85.54,22.42,1,27
275,Del Duca,3,74.96,55.01,1,27
276,Friuli Brand,3,35.42,8.29,1,27
277,Jarlsberg,3,89.75,42.3,1,28
278,Black Diamond,3,71.28,46.13,1,28
279,Salemville,3,71.79,65.24,1,28
280,Fromager D'affinois,3,30.3,11.26,1,28
281,Silk,3,82.73,75.03,1,29
282,Dean's,3,96.62,79.71,0,29
283,International Delight,3,57.61,35.25,0,29
284,Swiss Premium,3,82,24.04,0,29
285,Tuscan Dairy Farms,3,98.55,6.95,0,29
286,Garelick Farms,3,47.49,33.61,1,29
287,Lehigh Valley Dairy Farms,3,49.04,9.38,1,29
288,Pet,3,90.95,15.3,1,29
289,Shenandoah's Pride,3,85.6,23.41,0,29
290,Fruit Rush,3,74.96,15.24,0,29
291,Trumoo,3,46.36,2.01,1,29
292,Over The Moon,3,97.52,22.91,0,29
293,Dean's Country Fresh,3,88.31,85.76,0,29
294,Chug,3,89.99,77.34,1,29
295,Milk-bone,8,98.13,80.57,0,30
296,9lives,8,91.68,50.82,0,30
297,Meow Mix,8,78.67,34.92,0,30
298,Kibbles 'n Bits,8,19.83,16.86,0,30
299,Pup-peroni,8,81.98,76.24,0,30
300,Canine Carry Outs,8,90.64,1.49,1,30
301,Snausages,8,52.43,12.04,1,30
302,Meaty Bone,8,51.64,13.33,0,30
303,Gravy Train,8,79.51,0.37,1,30
304,Chew-lotta,8,17.76,7.9,0,30
305,Diamond,3,54.24,33.22,1,31
306,Emerald,3,87.53,53.59,0,31
307,Pop-secret,3,37.83,6.8,0,31
308,Pop Secret,3,65.73,41.3,1,31
309,Diamond Of California,3,88.3,21.05,0,31
310,Ace Of Diamonds,3,24.69,3.84,0,31
311,Margaritaville,3,92.65,15.72,0,32
312,7-up,3,78.16,46.28,1,32
313,Ibc,3,73.95,27.56,1,32
314,Diet Sunkist,3,70.14,69.07,0,32
315,Diet Snap Tea,3,99.58,20.38,0,32
316,Diet Snapple,3,17.46,0.83,1,32
317,7-up Ten,3,50.18,2.49,0,32
318,A&w Ten,3,75.88,36.02,0,32
319,Schweppes,3,78.96,29.1,0,33
320,Canada Dry,3,90.57,82.92,1,33
321,Dr. Pepper,3,84.99,73.44,0,33
322,Hawaiian Punch,3,89.86,61.78,0,33
323,Crush,3,90.33,88.57,1,33
324,Canfield's,3,54.24,11.84,0,33
325,Diet Dr. Pepper,3,57.95,41.78,1,33
326,Diet A&w,3,87.26,77.15,0,33
327,Diet Rite,3,84.51,56.91,1,33
328,Diet 7-up,3,88.27,3.14,1,33
329,Sun Drop,3,92.93,37.89,0,33
330,Vernors,3,62.65,35.1,0,33
331,Squirt,3,10.29,1.08,0,33
332,Diet Vernors,3,91.19,81.43,0,33
333,Rc,3,99.48,38.9,1,33
334,Venom,3,40.56,10.05,0,33
335,Diet Squirt,3,56.54,46.5,1,33
336,Diet Crush,3,35.53,20.15,1,33
337,Cherry 7-up,3,43.62,20.1,0,33
338,Doan's,5,14.39,3.65,0,34
339,Myoflex,5,93.2,68.27,1,34
340,Bufferin,5,20.06,7.18,0,34
341,Nupercainal,5,38.71,7.48,1,34
342,Black Swan,10,56.54,34.26,1,35
343,Alamos Selection,10,27.45,18.44,1,35
344,Barefoot,10,89.82,31.18,1,35
345,Tropiking,7,92.34,32.12,1,36
346,Asian Best,7,84.47,41.14,0,36
347,Tao Kae Noi,7,69.34,47.7,1,36
348,Edward & Son,3,97.17,12.16,1,37
349,Native Forest,3,94.84,19.84,0,37
350,Let's Do...organic,3,35.51,15.05,0,37
351,Edward & Sons,3,69.01,37.48,1,37
352,Road's End Organics,3,34.22,10.31,1,37
353,Let's Do...,3,32.55,3.83,0,37
354,Elmer's,6,92.83,79.89,0,38
355,Krazy Glue,6,74.61,48.57,1,38
356,Painters,6,81.39,54.36,1,38
357,Energizer,5,68.98,26.18,0,39
358,Playtex,5,78,52.16,0,39
359,Schick,5,42.78,20.39,0,39
360,Banana Boat,5,99.24,36.96,0,39
361,Skintimate,5,31.23,13.14,0,39
362,Edge,5,63.86,54.85,0,39
363,Hawaiian Tropic,5,83.5,3.05,0,39
364,Schick Intuition,5,49.57,43.18,1,39
365,Wet Ones,5,95.58,19.84,0,39
366,Litter Genie,5,62.31,22.6,1,39
367,Playtex Sport,5,63.74,11.85,1,39
368,Garden Chic!,4,41.03,0.29,1,40
369,Extreme!,4,35.9,0.76,1,40
370,Song Blend,4,17.32,15.2,0,40
371,Bird Lover's Blend,4,36.02,1.39,0,40
372,Brown's,4,70.07,55.35,1,40
373,Hay Products,4,41.22,18.66,1,40
374,Brach's,3,20.98,5.46,1,41
375,Trolli,3,49.25,3.81,1,41
376,Jujyfruits,3,57.62,44.73,0,41
377,Bob's,3,42.39,26.96,0,41
378,Tic Tac,3,80.28,34.71,1,42
379,Nutella,3,78.18,70.46,1,42
380,Ferrero Rocher,3,76.96,66.76,1,42
381,Ferrero Collection,3,99.23,87.93,1,42
382,Ferrero Rondnoir,3,93.73,71.28,1,42
383,Confetteria Raffaello,3,79.35,20.87,1,42
384,Freeman,6,44.21,29.62,1,43
385,Bare Foot Repair,6,98.37,19.67,1,43
386,Vita-k,6,30.11,21.63,1,43
387,Barefoot Repair,6,3.66,2.85,0,43
388,Pssssst!,6,57.23,25.88,1,43
389,Lay's,3,53.75,33.16,0,44
390,Tostitos,3,64.01,18.77,0,44
391,Doritos,3,30.83,6.24,1,44
392,Cheetos,3,74.71,51.46,1,44
393,Ruffles,3,60.47,31.75,0,44
394,Fritos,3,70.73,58.2,0,44
395,Rold Gold,3,43.68,22.49,1,44
396,Sunchips,3,67.91,41.38,0,44
397,Smartfood,3,77.25,23.76,0,44
398,Baken-ets,3,76.44,5.55,0,44
399,Munchies,3,89.54,6.07,0,44
400,Grandma's,3,92.72,51.54,1,44
401,Chester's,3,35.51,15.4,1,44
402,Frito-lay,3,41.63,39.3,0,44
403,Funyuns,3,13.77,0.07,1,44
404,Nut Harvest,3,47.65,17.52,1,44
405,Looza,3,67.38,11.55,1,44
406,Cracker Jack,3,91.45,77,0,44
407,Munchos,3,72.83,44.37,0,44
408,Twistos,3,40.94,14.72,1,44
409,Sabritones,3,93.04,82.24,1,44
410,Santitas,3,29.83,11.12,1,44
411,Turbos,3,83.01,60.14,1,44
412,Domo,9,14.4,13.11,0,45
413,Pop!,9,55.71,0.34,0,45
414,Wacky Wobbler,9,88.74,27.66,1,45
415,Garnier,6,45.28,5.18,1,46
416,Garnier Fructis,6,50.38,16.88,1,46
417,Garnier Nutritioniste,6,35.4,2.52,0,46
418,Nutrisse,6,6.63,4.33,1,46
419,Garnier Nutrisse,6,42.35,40.36,1,46
420,Garnier Herbashine,6,75.94,43.39,0,46
421,Betty Crocker,3,98.44,0.35,0,47
422,Pillsbury,3,89.51,13.07,1,47
423,Progresso,3,67.83,47.42,0,47
424,Old El Paso,3,79.57,0.17,1,47
425,Larabar,3,78.37,63.45,1,47
426,Fiber One,3,26.56,3.28,1,47
427,Cascadian Farm,3,95.57,39.82,0,47
428,Nature Valley,3,85.85,10.25,0,47
429,Cheerios,3,76.71,18.78,1,47
430,Sunkist,3,41.46,26.54,1,47
431,Chex Mix,3,76.94,21.35,0,47
432,Chex,3,80.35,69.61,0,47
433,Big G,3,85.99,80.43,1,47
434,General Mills,3,59.44,53.16,1,47
435,Totino's,3,98.86,49.39,1,47
436,Hamburger Helper,3,80.16,67.31,0,47
437,Bisquick,3,93.98,55.09,1,47
438,Chicken Helper,3,94.5,52.7,1,47
439,Cinnamon Toast Crunch,3,38.01,0.78,0,47
440,Le Sueur,3,57.97,51.87,0,47
441,Total,3,77,21.86,0,47
442,Golden Grahams,3,52.75,39.39,0,47
443,Cocoa Puffs,3,98.26,31.44,1,47
444,Fruit Gushers,3,82.4,76.79,0,47
445,Romano's Macaroni Grill,3,61.12,57.58,1,47
446,Fruit Roll-ups,3,65.4,31.33,0,47
447,Kix,3,97.78,80.1,0,47
448,Reese's Puffs,3,62.91,1.43,1,47
449,Toaster Strudel,3,39.42,15.22,1,47
450,Egg Scrambles,3,33.8,0.37,1,47
451,Progressive,3,33.92,20.37,1,47
452,Bisquick Shake 'n Pour,3,90.94,86.97,1,47
453,Trix,3,73.2,55.87,1,47
454,Bfast,3,54.28,11.54,1,47
455,Corn Chex,3,78.71,38.33,1,47
456,Cookie Crisp,3,83.67,58.7,0,47
457,Bugles,3,97.61,67.13,0,47
458,Frosted Toast Crunch,3,97.68,87.76,0,47
459,Mountain High,3,78.65,41.54,1,47
460,Bisquick Heart Smart,3,32.62,31.07,1,47
461,Toaster Scrambles,3,96.55,35.25,0,47
462,Lucky Charms,3,74.49,33.78,0,47
463,Wanchai Ferry,3,76.09,36.33,0,47
464,Wheaties,3,96.96,12,1,47
465,Tuna Helper,3,32.67,30.3,0,47
466,Basic 4,3,74.32,73.33,1,47
467,Peanut Butter Toast Crunch,3,89.15,13.12,1,47
468,Scooby-doo!,3,38.81,7.61,1,47
469,"Fruit Roll-ups, Fruit By The Foot, Fruit Gushers",3,71.79,12.03,0,47
470,Fruit By The Foot,3,94.03,14.88,1,47
471,Raisin Nut Bran,3,77.75,71.32,1,47
472,Oatmeal Crisps,3,69.08,22.27,0,47
473,Gardetto's,3,52,3.27,1,47
474,Tums,5,9.1,2.71,1,48
475,Sensodyne,5,83.62,40.44,0,48
476,Nicorette,5,61.7,0.91,0,48
477,Aquafresh,5,84.58,64.85,1,48
478,Breathe Right,5,58.76,42.46,1,48
479,Polident,5,76.23,44.4,0,48
480,Biotene,5,42.06,12.95,0,48
481,Nicoderm Cq,5,97.18,22.35,0,48
482,Os-cal,5,97.18,10.11,1,48
483,Citrucel,5,92.59,86.21,1,48
484,Abreva,5,27.59,3.16,0,48
485,Gaviscon,5,94.46,35.02,0,48
486,Green Mountain Coffee,3,23.64,9.8,0,49
487,Swiss Miss,3,85.84,63.3,1,49
488,Tully's Coffee,3,49.4,12.42,1,49
489,Cafe Escapes,3,73.01,60.71,1,49
490,Cafe Bustelo,3,58.12,25.68,1,49
491,Eight O' Clock,3,50.34,48.53,1,49
492,Barista Prima,3,92.3,2.75,1,49
493,Donut House Collection,3,64.56,51.15,0,49
494,Green Mountain Naturals,3,60.92,57.78,0,49
495,Heinz,3,75.52,51.25,0,50
496,Weight Watchers Smart Ones,3,42.53,31.2,1,50
497,T.g.i. Friday's,3,98.94,89.9,1,50
498,Ore-ida,3,42.91,33.82,0,50
499,Classico,3,78.9,21.6,1,50
500,Jack Daniel's,3,67.86,61.95,1,50
501,Smart Ones,3,61.91,46.62,1,50
502,Bagel Bites,3,91.89,42.26,0,50
503,Nancy's,3,48.26,10.27,1,50
504,Wyler's,3,46.39,20.55,0,50
505,Ore-lda,3,86.47,20.86,0,50
506,L'eggs,3,73.67,3.56,0,51
507,Leggs,3,91.62,49.59,1,51
508,Jms,3,73.08,69.43,1,51
509,Hanes,3,45.66,6.83,1,51
510,Play-doh,9,43.73,35.54,0,52
511,Parker Brothers,9,82.32,69.86,0,52
512,Scattergories,9,20.18,11.41,1,52
513,Hormel,3,43.27,29.4,1,53
514,House Of Tsang,3,80.15,31.47,1,53
515,Chi-chi's,3,21.16,9.7,1,53
516,Herb-ox,3,95.21,5.06,1,53
517,Country Crock,3,49.68,44.92,1,53
518,Spam,3,56.21,49.8,1,53
519,Dinty Moore,3,65.2,6.03,0,53
520,Valley Fresh,3,30.6,9.25,1,53
521,Thick & Easy,3,98.89,12.13,1,53
522,Mary Kitchen,3,59.36,52.68,1,53
523,Estroven,5,48.99,30.51,1,54
524,Culturelle,5,33.02,15.96,0,54
525,Azo,5,56.17,22.1,1,54
526,Brainstrong,5,65.36,19.16,0,54
527,I-cool,5,68.06,5.59,0,54
528,Dhea,5,94.86,69.38,1,54
529,Imperial,9,97.12,43.37,0,55
530,Miracle Bubbles,9,81,73.74,0,55
531,Stampers,9,30.36,15.75,0,55
532,Dynasty,3,56.03,53.87,0,56
533,Hapi,3,96.71,94.91,0,56
534,Nishiki,3,69,43.12,0,56
535,Myojo,3,95.55,47.36,1,56
536,Hime,3,93.6,14.05,1,56
537,Botan,3,96.13,77.74,1,56
538,Just Bare,3,22.44,7.68,0,56
539,Jfc,3,70.38,45.59,0,56
540,Wel-pac,3,59.01,51.5,0,56
541,Neutrogena,5,56.57,32.03,0,57
542,Aveeno,5,70.79,37.39,1,57
543,Johnson's,5,36.3,0.42,1,57
544,Band-aid,5,8.31,3.01,1,57
545,Listerine,5,58.63,10.92,1,57
546,Clean & Clear,5,52.61,14.94,0,57
547,Tylenol,5,75.91,63.11,0,57
548,Johnson & Johnson,5,90.44,30.45,1,57
549,Reach,5,39.25,38.25,0,57
550,Neosporin,5,15.62,1.67,0,57
551,Visine,5,98.08,23.38,1,57
552,Benadryl,5,92.5,28.38,1,57
553,Pepcid,5,79.85,34.28,0,57
554,Bengay,5,19.11,11.76,1,57
555,Ambi,5,80.53,37.46,0,57
556,Sudafed,5,63.23,16.29,0,57
557,Roc,5,38.48,2.01,0,57
558,Desitin,5,69.12,38.81,0,57
559,Johnson's Natural,5,50.6,23.18,1,57
560,Shower To Shower,5,5.8,2.68,1,57
561,Rogaine,5,35.22,1.78,0,57
562,Cortaid,5,42.55,36.52,0,57
563,Caladryl,5,51.82,22.1,0,57
564,Zyrtec-d,5,64.64,58.09,1,57
565,Visine-a,5,87.96,66.38,0,57
566,Plax,5,96.67,11.01,1,57
567,Rembrandt,5,90,33.73,1,57
568,Coach,5,59.98,52.54,1,57
569,Corn Huskers,5,65.99,7.66,0,57
570,Kashi,3,54.47,37.21,1,58
571,Tlc,3,27.02,1.97,1,58
572,Organic Promise,3,71.18,32.54,1,58
573,Heart To Heart,3,66.63,5.15,1,58
574,Honey Sunshine,3,22.47,5.23,0,58
575,7 Whole Grain,3,76.17,42.69,1,58
576,Good Friends,3,81.06,78.79,0,58
577,Kellogg's,3,84.96,8.85,0,59
578,Keebler,3,96.4,74.26,0,59
579,Special K,3,59.08,30,0,59
580,Cheez-it,3,98.87,65.06,1,59
581,Pop-tarts,3,55.22,25.56,1,59
582,Pringles,3,91.37,70.91,1,59
583,Eggo,3,80.67,26.93,0,59
584,Morningstar,3,84.92,43.1,0,59
585,Murray,3,40.32,5.96,0,59
586,Town House,3,85.43,41.66,1,59
587,Nutri-grain,3,84.44,52.3,1,59
588,Frosted Mini-wheats,3,93.86,12.48,0,59
589,Rice Krispies,3,97.88,12.27,1,59
590,Fiber Plus,3,25.71,25.28,0,59
591,Mini-wheats,3,24.83,12.69,1,59
592,100 Calorie Right Bites,3,64.33,58.7,1,59
593,Frosted Flakes,3,44.05,36.4,1,59
594,Golean,3,95.33,39.64,0,59
595,Sunshine,3,82.31,71.58,1,59
596,All-bran,3,82.83,30.91,1,59
597,Gardenburger,3,23.12,21.47,1,59
598,Sandies,3,66.13,37.85,0,59
599,Smart Start,3,38.28,34.51,1,59
600,Froot Loops,3,81.04,66.22,0,59
601,Corn Flakes,3,95.93,64.68,1,59
602,Chips Duluxe,3,91.08,40.07,0,59
603,Austin,3,79.03,20.68,0,59
604,Zesta,3,94.55,72.47,0,59
605,Corn Pops,3,43.66,35.67,0,59
606,Kellogg's To Go,3,83.15,80.42,1,59
607,Honey Smacks,3,65.24,35.72,0,59
608,Low Fat Granola,3,65.7,55.66,1,59
609,Kaffree Roma,3,58.71,40.62,1,59
610,Bear Naked Fit,3,96.82,52.99,0,59
